Ticker,Days,Date,Volume Return,GDX Volume Return,Net Volume Return Delta,Z-score of Net Volume Return Delta
"BSX,Toronto",30,2025-04-01,456.35%,2.58%,453.78%,-0.50
"BSX,Toronto",60,2025-05-01,26.18%,62.03%,-35.85%,-0.50
"BSX,Toronto",90,2025-06-02,267.08%,135.24%,131.84%,-0.50
"BSX,Toronto",120,2025-07-02,386.38%,-21.78%,408.16%,-0.50
"BSX,Toronto",150,2025-07-25,2310.67%,22.19%,2288.48%,-0.50
"BSX,Toronto",180,2025-08-26,1145.77%,5.11%,1140.66%,-0.50
"BSX,Toronto",210,2025-09-25,636.45%,38.97%,597.48%,-0.50
"BSX,Toronto",240,2025-10-27,2334.76%,46.19%,2288.57%,-0.50
"BSX,Toronto",270,2025-11-25,1963.67%,46.25%,1917.41%,-0.50
"BSX,Toronto",300,2025-12-24,2337.05%,-15.57%,2352.62%,-0.50
"BSX,Toronto",330,2026-01-27,2583.68%,83.83%,2499.85%,-0.50
"BSX,Toronto",360,2026-02-25,8051.99%,-12.83%,8064.83%,-0.50
"PGDC,Venture",30,2025-04-01,-100.00%,2.58%,-102.58%,-0.46
"PGDC,Venture",60,2025-05-01,5150.00%,62.03%,5087.97%,-0.46
"PGDC,Venture",90,2025-06-02,7656.25%,135.24%,7521.01%,-0.46
"PGDC,Venture",120,2025-07-02,668.75%,-21.78%,690.53%,-0.46
"PGDC,Venture",150,2025-07-25,-100.00%,22.19%,-122.19%,-0.46
"PGDC,Venture",180,2025-08-26,4212.50%,5.11%,4207.39%,-0.46
"PGDC,Venture",210,2025-09-25,5512.50%,38.97%,5473.53%,-0.46
"PGDC,Venture",240,2025-10-27,475.00%,46.19%,428.81%,-0.46
"PGDC,Venture",270,2025-11-25,2537.50%,46.25%,2491.25%,-0.46
"PGDC,Venture",300,2025-12-24,55912.50%,-15.57%,55928.07%,-0.46
"PGDC,Venture",330,2026-01-27,24812.50%,83.83%,24728.67%,-0.46
"PGDC,Venture",360,2026-02-25,29396.44%,-12.83%,29409.27%,-0.46
"WGO,Venture",30,2025-04-01,12.77%,2.58%,10.19%,-0.39
"WGO,Venture",60,2025-05-01,-29.36%,62.03%,-91.39%,-0.39
"WGO,Venture",90,2025-06-02,314.04%,135.24%,178.81%,-0.39
"WGO,Venture",120,2025-07-02,-36.17%,-21.78%,-14.39%,-0.39
"WGO,Venture",150,2025-07-25,1871.91%,22.19%,1849.73%,-0.39
"WGO,Venture",180,2025-08-26,4247.66%,5.11%,4242.55%,-0.39
"WGO,Venture",210,2025-09-25,1623.83%,38.97%,1584.86%,-0.39
"WGO,Venture",240,2025-10-27,5905.96%,46.19%,5859.77%,-0.39
"WGO,Venture",270,2025-11-25,2493.19%,46.25%,2446.94%,-0.39
"WGO,Venture",300,2025-12-24,1207.23%,-15.57%,1222.81%,-0.39
"WGO,Venture",330,2026-01-27,3154.04%,83.83%,3070.21%,-0.39
"WGO,Venture",360,2026-02-25,2233.95%,-12.83%,2246.79%,-0.39
"PPP,Venture",30,2025-04-01,-88.10%,2.58%,-90.67%,-0.42
"PPP,Venture",60,2025-05-01,608.33%,62.03%,546.30%,-0.42
"PPP,Venture",90,2025-06-02,245.24%,135.24%,110.00%,-0.42
"PPP,Venture",120,2025-07-02,-37.50%,-21.78%,-15.72%,-0.42
"PPP,Venture",150,2025-07-25,-52.38%,22.19%,-74.57%,-0.42
"PPP,Venture",180,2025-08-26,367.26%,5.11%,362.16%,-0.42
"PPP,Venture",210,2025-09-25,923.81%,38.97%,884.84%,-0.42
"PPP,Venture",240,2025-10-27,1024.40%,46.19%,978.22%,-0.42
"PPP,Venture",270,2025-11-25,3192.26%,46.25%,3146.01%,-0.42
"PPP,Venture",300,2025-12-24,1343.45%,-15.57%,1359.02%,-0.42
"PPP,Venture",330,2026-01-27,4598.81%,83.83%,4514.98%,-0.42
"PPP,Venture",360,2026-02-25,3383.51%,-12.83%,3396.35%,-0.42
"EMO,Venture",30,2025-04-01,11.63%,2.58%,9.05%,-0.46
"EMO,Venture",60,2025-05-01,-85.55%,62.03%,-147.59%,-0.46
"EMO,Venture",90,2025-06-02,-40.81%,135.24%,-176.05%,-0.46
"EMO,Venture",120,2025-07-02,-11.17%,-21.78%,10.61%,-0.46
"EMO,Venture",150,2025-07-25,-78.57%,22.19%,-100.75%,-0.46
"EMO,Venture",180,2025-08-26,-32.39%,5.11%,-37.50%,-0.46
"EMO,Venture",210,2025-09-25,-53.60%,38.97%,-92.58%,-0.46
"EMO,Venture",240,2025-10-27,-50.96%,46.19%,-97.15%,-0.46
"EMO,Venture",270,2025-11-25,-78.68%,46.25%,-124.93%,-0.46
"EMO,Venture",300,2025-12-24,-54.19%,-15.57%,-38.62%,-0.46
"EMO,Venture",330,2026-01-27,-29.34%,83.83%,-113.17%,-0.46
"EMO,Venture",360,2026-02-25,-26.13%,-12.83%,-13.30%,-0.46
"TSG,Venture",30,2025-04-01,-100.00%,2.58%,-102.58%,-0.33
"TSG,Venture",60,2025-05-01,-43.24%,62.03%,-105.28%,-0.33
"TSG,Venture",90,2025-06-02,157.66%,135.24%,22.42%,-0.33
"TSG,Venture",120,2025-07-02,188.11%,-21.78%,209.89%,-0.33
"TSG,Venture",150,2025-07-25,-41.44%,22.19%,-63.63%,-0.33
"TSG,Venture",180,2025-08-26,402.52%,5.11%,397.42%,-0.33
"TSG,Venture",210,2025-09-25,2.16%,38.97%,-36.81%,-0.33
"TSG,Venture",240,2025-10-27,26.49%,46.19%,-19.70%,-0.33
"TSG,Venture",270,2025-11-25,-75.86%,46.25%,-122.11%,-0.33
"TSG,Venture",300,2025-12-24,103.60%,-15.57%,119.18%,-0.33
"TSG,Venture",330,2026-01-27,704.50%,83.83%,620.68%,-0.33
"TSG,Venture",360,2026-02-25,425.21%,-12.83%,438.04%,-0.33
"GAL,Venture",30,2025-04-01,-81.29%,2.58%,-83.87%,-0.44
"GAL,Venture",60,2025-05-01,-85.25%,62.03%,-147.29%,-0.44
"GAL,Venture",90,2025-06-02,-84.24%,135.24%,-219.48%,-0.44
"GAL,Venture",120,2025-07-02,-29.75%,-21.78%,-7.96%,-0.44
"GAL,Venture",150,2025-07-25,185.07%,22.19%,162.89%,-0.44
"GAL,Venture",180,2025-08-26,-58.99%,5.11%,-64.10%,-0.44
"GAL,Venture",210,2025-09-25,47.12%,38.97%,8.15%,-0.44
"GAL,Venture",240,2025-10-27,-79.89%,46.19%,-126.08%,-0.44
"GAL,Venture",270,2025-11-25,-100.00%,46.25%,-146.25%,-0.44
"GAL,Venture",300,2025-12-24,-24.10%,-15.57%,-8.53%,-0.44
"GAL,Venture",330,2026-01-27,-100.00%,83.83%,-183.83%,-0.44
"GAL,Venture",360,2026-02-24,-100.00%,-12.83%,-87.17%,-0.44
"TK,Venture",30,2025-04-01,-39.91%,2.58%,-42.48%,-0.34
"TK,Venture",60,2025-05-01,-65.74%,62.03%,-127.78%,-0.34
"TK,Venture",90,2025-06-02,-100.00%,135.24%,-235.24%,-0.34
"TK,Venture",120,2025-07-02,-99.29%,-21.78%,-77.50%,-0.34
"TK,Venture",150,2025-07-25,-94.29%,22.19%,-116.48%,-0.34
"TK,Venture",180,2025-08-26,-93.72%,5.11%,-98.82%,-0.34
"TK,Venture",210,2025-09-25,-73.14%,38.97%,-112.11%,-0.34
"TK,Venture",240,2025-10-27,22.61%,46.19%,-23.58%,-0.34
"TK,Venture",270,2025-11-25,60.29%,46.25%,14.04%,-0.34
"TK,Venture",300,2025-12-24,-91.44%,-15.57%,-75.86%,-0.34
"TK,Venture",330,2026-01-27,-18.07%,83.83%,-101.90%,-0.34
"TK,Venture",360,2026-02-25,646.24%,-12.83%,659.07%,-0.34
